E_price,Text,Psol,Pelec,Ppeop,Pven,Pint
0.1833,281.25,0,1248,960,-4176,-1968
0.1833,280.95,0,1248,960,-2496,-288
0.1833,280.75,0,1248,960,-2563.2,-355.2
0.1833,280.55,0,1248,960,-2601.6,-393.6
0.1833,280.25,0,1248,960,-2649.6,-441.6
0.1833,280.05,0,1248,960,-2707.2,-499.2
0.3666,279.85,0,1728,960,-2755.2,-67.2000000000003
0.3666,279.55,0,2208,960,-2793.6,374.4
0.3666,279.65,29.1,1248,960,-2860.8,-652.8
0.3666,279.65,174.4,480,960,-2832,-1392
0.3666,280.15,1250.2,480,960,-2832,-1392
0.3666,280.45,1221.1,1440,960,-2736,-336
0.3666,280.55,1075.7,2400,960,-2668.8,691.2
0.3666,280.35,261.7,1440,960,-2649.6,-249.6
0.3666,280.35,843.1,480,960,-2688,-1248
0.3666,280.25,145.4,480,960,-2688,-1248
0.3666,280.05,0,1440,960,-2707.2,-307.2
0.3666,279.95,0,2784,960,-2755.2,988.8
0.3666,279.85,0,2112,960,-2774.4,297.6
0.3666,279.85,0,1728,960,-2793.6,-105.6
0.3666,279.75,0,960,960,-2793.6,-873.6
0.3666,279.65,0,1248,960,-2812.8,-604.8
0.1833,279.55,0,1248,960,-2832,-624
0.1833,279.45,0,1248,960,-2860.8,-652.8
0.1833,279.15,0,1248,960,-2880,-672
0.1833,278.85,0,1248,960,-2937.6,-729.6
0.1833,278.65,0,1248,960,-3004.8,-796.8
0.1833,278.35,0,1248,960,-3043.2,-835.2
0.1833,278.05,0,1248,960,-3110.4,-902.4
0.1833,277.75,0,1248,960,-3168,-960
0.3666,277.45,0,1728,960,-3235.2,-547.2
0.3666,277.15,0,2208,960,-3302.4,-134.4
0.3666,277.55,203.5,1248,960,-3360,-1152
0.3666,278.25,1133.9,480,960,-3273.6,-1833.6
0.3666,279.25,2558.5,480,960,-3129.6,-1689.6
0.3666,279.15,1046.7,1440,960,-2918.4,-518.4
0.3666,279.55,2384,2400,960,-2937.6,422.4
0.3666,279.85,2791.1,1440,960,-2860.8,-460.8
0.3666,280.05,2442.2,480,960,-2793.6,-1353.6
0.3666,279.95,1511.8,480,960,-2755.2,-1315.2
0.3666,279.55,378,1440,960,-2774.4,-374.4
0.3666,279.25,0,2784,960,-2860.8,883.2
0.3666,278.95,0,2112,960,-2918.4,153.6
0.3666,278.65,0,1728,960,-2985.6,-297.6
0.3666,278.35,0,960,960,-3043.2,-1123.2
0.3666,278.05,0,1248,960,-3110.4,-902.4
0.1833,277.75,0,1248,960,-3168,-960
0.1833,277.45,0,1248,960,-3235.2,-1027.2
0.1833,277.15,0,1248,960,-3302.4,-1094.4
0.1833,276.85,0,1248,960,-3360,-1152
0.1833,276.65,0,1248,960,-3427.2,-1219.2
0.1833,276.45,0,1248,960,-3465.6,-1257.6
0.1833,276.15,0,1248,960,-3513.6,-1305.6
0.1833,275.95,0,1248,960,-3571.2,-1363.2
0.3666,275.75,0,1728,960,-3609.6,-921.6
0.3666,275.45,0,2208,960,-3657.6,-489.6
0.3666,276.15,436.1,1248,960,-3715.2,-1507.2
0.3666,278.05,1192,480,960,-3571.2,-2131.2
0.3666,280.25,1686.3,480,960,-3168,-1728
0.3666,282.05,2965.5,1440,960,-2707.2,-307.2
0.3666,282.95,17567.6,2400,960,-2332.8,1027.2
0.3666,283.85,21904.3,1440,960,-2140.8,259.2
0.3666,283.95,17154.4,480,960,-1968,-528
0.3666,283.15,4883.1,480,960,-1968,-528
0.3666,281.85,348.9,1440,960,-2140.8,259.2
0.3666,281.45,0,2784,960,-2409.6,1334.4
0.3666,281.05,0,2112,960,-2476.8,595.2
0.3666,280.65,0,1728,960,-2544,144
0.3666,280.15,0,960,960,-2630.4,-710.4
0.3666,279.75,0,1248,960,-2736,-528
0.1833,279.35,0,1248,960,-2812.8,-604.8
0.1833,278.95,0,1248,960,-2899.2,-691.2
0.1833,278.25,0,1248,960,-2985.6,-777.6
0.1833,277.55,0,1248,960,-3129.6,-921.6
0.1833,276.85,0,1248,960,-3273.6,-1065.6
0.1833,276.15,0,1248,960,-3427.2,-1219.2
0.1833,275.45,0,1248,960,-3571.2,-1363.2
0.1833,274.75,0,1248,960,-3715.2,-1507.2
0.1833,274.05,0,1728,960,-3868.8,-1180.8
0.1833,273.35,0,2208,960,-4012.8,-844.8
0.1833,273.85,378,1248,960,-4156.8,-1948.8
0.1833,275.05,1773.5,480,960,-4051.2,-2611.2
0.1833,276.45,3140,480,960,-3801.6,-2361.6
0.1833,277.15,3895.9,1440,960,-3513.6,-1113.6
0.1833,277.45,3975.2,2400,960,-3360,0
0.1833,278.25,12037.9,1440,960,-3302.4,-902.4
0.1833,278.35,4946.9,480,960,-3129.6,-1689.6
0.1833,277.45,755.9,480,960,-3110.4,-1670.4
0.1833,276.65,610.5,1440,960,-3302.4,-902.4
0.1833,276.45,0,2784,960,-3465.6,278.4
0.1833,276.15,0,2112,960,-3513.6,-441.6
0.1833,275.85,0,1728,960,-3571.2,-883.2
0.1833,275.55,0,960,960,-3638.4,-1718.4
0.1833,275.25,0,1248,960,-3696,-1488
0.1833,274.95,0,1248,960,-3763.2,-1555.2
0.1833,274.75,0,1248,960,-3820.8,-1612.8
0.1833,274.55,0,1248,960,-3868.8,-1660.8
0.1833,274.35,0,1248,960,-3907.2,-1699.2
0.1833,274.15,0,1248,960,-3945.6,-1737.6
0.1833,273.95,0,1248,960,-3993.6,-1785.6
0.1833,273.75,0,1248,960,-4032,-1824
0.1833,273.55,0,1248,960,-4080,-1872
0.3666,273.35,0,1728,960,-4118.4,-1430.4
